Date,Open,High,Low,Close,Adj Close,Volume,Name
2017-08-17,50.369998931884766,50.90999984741211,50.31999969482422,50.36000061035156,35.11802673339844,2090500,OKE
2017-08-18,50.349998474121094,51.09000015258789,50.099998474121094,50.93000030517578,35.5155143737793,2213500,OKE
2017-08-21,50.880001068115234,51.08000183105469,50.560001373291016,50.970001220703125,35.54341125488281,2216300,OKE
2017-08-22,51.13999938964844,52.97999954223633,51.06999969482422,52.88999938964844,36.882301330566406,3455500,OKE
2017-08-23,52.470001220703125,53.81999969482422,52.470001220703125,53.34000015258789,37.19609832763672,3060600,OKE
2017-08-24,53.2599983215332,53.86000061035156,53.2599983215332,53.470001220703125,37.28676223754883,2814900,OKE
2017-08-25,53.650001525878906,53.84000015258789,53.47999954223633,53.65999984741211,37.419246673583984,1892800,OKE
2017-08-28,53.66999816894531,53.849998474121094,52.43000030517578,52.95000076293945,36.924137115478516,2083200,OKE
2017-08-29,52.650001525878906,53.38999938964844,52.47999954223633,53.220001220703125,37.1124153137207,2117700,OKE
2017-08-30,52.880001068115234,54.25,52.79999923706055,54.0099983215332,37.66331481933594,3410200,OKE
2017-08-31,54.400001525878906,54.400001525878906,53.720001220703125,54.15999984741211,37.767921447753906,3619600,OKE
2017-09-01,54.400001525878906,54.810001373291016,54.06999969482422,54.630001068115234,38.09567642211914,2077800,OKE
2017-09-05,55.0,55.70000076293945,54.33000183105469,54.849998474121094,38.24907684326172,3561300,OKE
2017-09-06,55.220001220703125,56.400001525878906,54.91999816894531,56.34000015258789,39.288116455078125,5613300,OKE
2017-09-07,56.13999938964844,56.939998626708984,56.11000061035156,56.470001220703125,39.37876892089844,3299200,OKE
2017-09-08,56.29999923706055,56.77000045776367,55.95000076293945,56.220001220703125,39.204444885253906,3295800,OKE
2017-09-11,56.560001373291016,57.0,56.16999816894531,56.52000045776367,39.41364669799805,2986700,OKE
2017-09-12,56.52000045776367,56.599998474121094,55.91999816894531,56.09000015258789,39.11378479003906,3041500,OKE
2017-09-13,56.25,56.58000183105469,55.959999084472656,56.47999954223633,39.385738372802734,5403500,OKE
2017-09-14,56.5099983215332,57.09000015258789,56.380001068115234,56.880001068115234,39.6646842956543,5226400,OKE
2017-09-15,56.959999084472656,57.0,56.189998626708984,56.20000076293945,39.19049072265625,13014900,OKE
2017-09-18,56.09000015258789,56.599998474121094,55.90999984741211,56.099998474121094,39.12076187133789,5500300,OKE
2017-09-19,56.150001525878906,56.27000045776367,55.290000915527344,56.11000061035156,39.12772750854492,4691900,OKE
2017-09-20,56.13999938964844,56.33000183105469,55.880001068115234,56.09000015258789,39.11378479003906,2637400,OKE
2017-09-21,55.810001373291016,56.029998779296875,54.63999938964844,55.060001373291016,38.39552307128906,3548100,OKE
2017-09-22,55.040000915527344,55.060001373291016,54.20000076293945,54.70000076293945,38.14448547363281,2765700,OKE
2017-09-25,55.150001525878906,55.900001525878906,55.08000183105469,55.5,38.702354431152344,3165400,OKE
2017-09-26,55.209999084472656,55.45000076293945,54.849998474121094,55.220001220703125,38.50709915161133,2551200,OKE
2017-09-27,55.25,55.58000183105469,54.900001525878906,55.54999923706055,38.737213134765625,2524400,OKE
2017-09-28,55.25,55.470001220703125,54.7599983215332,55.41999816894531,38.64656448364258,3381800,OKE
2017-09-29,55.220001220703125,55.61000061035156,55.11000061035156,55.40999984741211,38.63959503173828,2496200,OKE
2017-10-02,54.97999954223633,55.880001068115234,54.709999084472656,55.84000015258789,38.939453125,2627300,OKE
2017-10-03,55.849998474121094,56.369998931884766,55.40999984741211,56.189998626708984,39.18351745605469,2758700,OKE
2017-10-04,56.290000915527344,56.599998474121094,56.099998474121094,56.29999923706055,39.260231018066406,2113200,OKE
2017-10-05,56.400001525878906,57.08000183105469,56.2400016784668,56.70000076293945,39.53916931152344,2570100,OKE
2017-10-06,56.189998626708984,56.43000030517578,55.540000915527344,56.189998626708984,39.18351745605469,1866100,OKE
2017-10-09,56.33000183105469,56.689998626708984,56.029998779296875,56.06999969482422,39.09983444213867,2409200,OKE
2017-10-10,56.58000183105469,56.58000183105469,55.900001525878906,56.02000045776367,39.06496810913086,1828800,OKE
